party;first name;last name;took office;left office
Independent;George;Washington;04/30/1789;03/04/1797
Federalist;John;Adams;03/04/1797;03/04/1801
Democratic-Republican;Thomas;Jefferson;03/04/1801;03/04/1809
Democratic-Republican;James;Madison;03/04/1809;03/04/1817
Democratic-Republican;James;Monroe;03/04/1817;03/04/1825
Democratic-Republican/National Republican;John Quincy;Adams;03/04/1825;03/04/1829
Democratic;Andrew;Jackson;03/04/1829;03/04/1837
Democratic;Martin;Van Buren;03/04/1837;03/04/1841
Whig;William Henry;Harrison;03/04/1841;04/04/1841
Whig;John;Tyler;04/04/1841;03/04/1845
Democratic;James K.;Polk;03/04/1845;03/04/1849
Whig;Zachary;Taylor;03/04/1849;07/09/1850
Whig;Millard;Fillmore;07/09/1850;03/04/1853
Democratic;Franklin;Pierce;03/04/1853;03/04/1857
Democratic;James;Buchanan;03/04/1857;03/04/1861
Republican/National Union;Abraham;Lincoln;03/04/1861;04/15/1865
Democratic/National Union;Andrew;Johnson;04/15/1865;03/04/1869
Republican;Ulysses S.;Grant;03/04/1869;03/04/1877
Republican;Rutherford B.;Hayes;03/04/1877;03/04/1881
Republican;James A.;Garfield;03/04/1881;09/19/1881
Republican;Chester A.;Arthur;09/19/1881;03/04/1885
Democratic;Grover;Cleveland;03/04/1885;03/04/1889
Republican;Benjamin;Harrison;03/04/1889;03/04/1893
Democratic;Grover;Cleveland (2nd term);03/04/1893;03/04/1897
Republican;William;McKinley;03/04/1897;09/14/1901
Republican;Theodore;Roosevelt;09/14/1901;03/04/1909
Republican;William Howard;Taft;03/04/1909;03/04/1913
Democratic;Woodrow;Wilson;03/04/1913;03/04/1921
Republican;Warren G.;Harding;03/04/1921;08/02/1923
Republican;Calvin;Coolidge;08/02/1923;03/04/1929
Republican;Herbert;Hoover;03/04/1929;03/04/1933
Democratic;Franklin D.;Roosevelt;03/04/1933;04/12/1945
Democratic;Harry S.;Truman;04/12/1945;01/20/1953
Republican;Dwight D.;Eisenhower;01/20/1953;01/20/1961
Democratic;John F.;Kennedy;01/20/1961;11/02/1963
Democratic;Lyndon B.;Johnson;11/20/1963;01/20/1969
Republican;Richard;Nixon;01/20/1969;08/09/1974
Republican;Gerald;Ford;08/09/1974;01/20/1977
Democratic;Jimmy;Carter;01/20/1977;01/20/1981
Republican;Ronald;Reagan;01/20/1981;01/20/1989
Republican;George H. W.;Bush;01/20/1989;01/20/1993
Democratic;Bill;Clinton;01/20/1993;01/20/2001
Republican;George W.;Bush;01/20/2001;01/20/2009
Democratic;Barack H.;Obama;01/20/2009;01/20/2017
Republican;Donald;Trump;01/20/2017;Incumbent
