first name,last name,took office,left office,party
George,Washington,30/04/1789,04/03/1797,Independent
John,Adams,04/03/1797,04/03/1801,Federalist
Thomas,Jefferson,04/03/1801,04/03/1809,Democratic-Republican
James,Madison,04/03/1809,04/03/1817,Democratic-Republican
James,Monroe,04/03/1817,04/03/1825,Democratic-Republican
John Quincy,Adams,04/03/1825,04/03/1829,Democratic-Republican/National Republican
Andrew,Jackson,04/03/1829,04/03/1837,Democratic
Martin,Van Buren,04/03/1837,04/03/1841,Democratic
William Henry,Harrison,04/03/1841,04/04/1841,Whig
John,Tyler,04/04/1841,04/03/1845,Whig
James K.,Polk,04/03/1845,04/03/1849,Democratic
Zachary,Taylor,04/03/1849,09/07/1850,Whig
Millard,Fillmore,09/07/1850,04/03/1853,Whig
Franklin,Pierce,04/03/1853,04/03/1857,Democratic
James,Buchanan,04/03/1857,04/03/1861,Democratic
Abraham,Lincoln,04/03/1861,15/04/1865,Republican/National Union
Andrew,Johnson,15/04/1865,04/03/1869,Democratic/National Union
Ulysses S.,Grant,04/03/1869,04/03/1877,Republican
Rutherford B.,Hayes,04/03/1877,04/03/1881,Republican
James A.,Garfield,04/03/1881,19/09/1881,Republican
Chester A.,Arthur,19/09/1881,04/03/1885,Republican
Grover,Cleveland,04/03/1885,04/03/1889,Democratic
Benjamin,Harrison,04/03/1889,04/03/1893,Republican
Grover,Cleveland (2nd term),04/03/1893,04/03/1897,Democratic
William,McKinley,04/03/1897,14/09/1901,Republican
Theodore,Roosevelt,14/09/1901,04/03/1909,Republican
William Howard,Taft,04/03/1909,04/03/1913,Republican
Woodrow,Wilson,04/03/1913,04/03/1921,Democratic
Warren G.,Harding,04/03/1921,02/08/1923,Republican
Calvin,Coolidge,02/08/1923,04/03/1929,Republican
Herbert,Hoover,04/03/1929,04/03/1933,Republican
Franklin D.,Roosevelt,04/03/1933,12/04/1945,Democratic
Harry S.,Truman,12/04/1945,20/01/1953,Democratic
Dwight D.,Eisenhower,20/01/1953,20/01/1961,Republican
John F.,Kennedy,20/01/1961,02/11/1963,Democratic
Lyndon B.,Johnson,20/11/1963,20/01/1969,Democratic
Richard,Nixon,20/01/1969,09/08/1974,Republican
Gerald,Ford,09/08/1974,20/01/1977,Republican
Jimmy,Carter,20/01/1977,20/01/1981,Democratic
Ronald,Reagan,20/01/1981,20/01/1989,Republican
George H. W., Bush,20/01/1989,20/01/1993,Republican
Bill,Clinton,20/01/1993,20/01/2001,Democratic
George W.,Bush,20/01/2001,20/01/2009,Republican
Barack H.,Obama,20/01/2009,20/01/2017,Democratic
Donald,Trump,20/01/2017,Incumbent,Republican
